RL-HHA non-dominated solutions
--------------------------------------------------------------------------------------------------------------
rlhha_idx	cost	emission	freshness	cost_reduction_pct	emission_reduction_pct	freshness_reduction_pct	average_reduction_pct	setup_pattern	
1	28665.7245500000	25469.0129206000	1166.0000000000	45.316844	5.887757	66.407375	39.203992	(1, 1, 1, 1, 1, 1, 1)	
2	29001.3173250000	25551.0682572700	1169.0000000000	44.676663	5.584548	66.320945	38.860719	(1, 1, 1, 1, 1, 1, 1)	
3	29601.9512000000	25367.1936253100	1160.4000000000	43.530885	6.263996	66.568712	38.787864	(1, 1, 1, 1, 1, 1, 1)	
4	29645.6798500000	25360.4292381600	1160.4000000000	43.447467	6.288991	66.568712	38.768390	(1, 1, 1, 1, 1, 1, 1)	
5	48929.2529500000	24749.1948099400	1053.0000000000	6.661841	8.547604	69.662921	28.290789	(1, 1, 1, 1, 1, 1, 1)	
6	48944.4829000000	24876.0188082400	1054.0000000000	6.632788	8.078969	69.634111	28.115289	(1, 1, 1, 1, 1, 1, 1)	
7	49779.7361478600	23089.2202551100	1046.6557125100	5.039447	14.681487	69.845701	29.855545	(1, 1, 1, 1, 1, 1, 1)	
8	49832.7749500000	24641.9181892700	1048.3333333300	4.938269	8.944009	69.797369	27.893216	(1, 1, 1, 1, 1, 1, 1)	
9	50239.9220564200	24333.0710123400	1049.3333333300	4.161590	10.085251	69.768559	28.005133	(1, 1, 1, 1, 1, 1, 1)	
10	50697.8724051600	23075.0736605700	1043.6602998300	3.287997	14.733761	69.931999	29.317919	(1, 1, 1, 1, 1, 1, 1)	
11	51126.4454472000	22911.9619637000	1044.5613555700	2.470445	15.336486	69.906040	29.237657	(1, 1, 1, 1, 1, 1, 1)	
12	52091.0723250000	24918.2157186200	1058.6666666700	0.630308	7.923044	69.499664	26.017672	(1, 1, 1, 1, 1, 1, 1)	
