  TYPE:	MVPRP (adapted from Archetti et al. (2011) benchmark)
  COMMENT: NODE 1 REPRESENTS THE SUPPLIER
  COMMENT: THE QUANTITY CONSUMED BY RETAILER AND THE
           QUANTITY MADE AVAILABLE AT THE SUPPLIER
           ARE CONSTANT OVER TIME
  TRANSPORTATION-COST-TYPE: EUC_2(T(i, j)=
  T(J, I)=INT((SQRT((X(I)-X(J))**2+(Y(I)-Y(J))**2))+.5)
  PRODUCED BY:	 yossiri
  DIMENSION:	31
  HORIZON:	3
  NUMBER OF VEHICLES:	3
  VEHICLE CAPACITY:	228
  SUPPLIER	COORD_X	COORD_Y	START_LEVEL_INV	INV_COST	VAR_PROD_COST	SET-UP_PROD_COST	PROD_CAPACITY	INV_CAPACITY
	0	430.0	299.0	0	3.0	30.0	3000.0	768.0	384.0
  RETAILER	COORD_X	COORD_Y	START_LEVEL_INV	MAX_LEVEL_INV	MIN_LEVEL_INV	DEMAND	INV_COST
	1	267.0	478.0	44	132	0	22	7.0
	2	230.0	443.0	42	119	0	17	7.0
	3	357.0	190.0	7	45	0	15	7.0
	4	203.0	476.0	11	44	0	11	8.0
	5	49.0	432.0	9	36	0	9	8.0
	6	301.0	204.0	38	114	0	19	6.0
	7	247.0	371.0	34	102	0	17	6.0
	8	433.0	214.0	5	33	0	11	6.0
	9	122.0	83.0	16	48	0	8	9.0
	10	331.0	304.0	34	102	0	17	6.0
	11	336.0	42.0	14	42	0	7	8.0
	12	437.0	352.0	32	91	0	13	7.0
	13	263.0	139.0	17	49	0	7	6.0
	14	239.0	213.0	9	36	0	9	6.0
	15	319.0	421.0	15	42	0	6	8.0
	16	72.0	115.0	18	72	0	18	6.0
	17	195.0	196.0	40	112	0	16	6.0
	18	136.0	328.0	6	36	0	12	6.0
	19	411.0	138.0	16	48	0	8	6.0
	20	4.0	243.0	3	21	0	7	7.0
	21	121.0	106.0	35	98	0	14	6.0
	22	40.0	48.0	10	30	0	5	9.0
	23	64.0	379.0	10	30	0	5	9.0
	24	406.0	202.0	16	64	0	16	8.0
	25	359.0	174.0	47	133	0	19	8.0
	26	271.0	182.0	8	48	0	16	7.0
	27	476.0	24.0	18	72	0	18	9.0
	28	330.0	178.0	17	68	0	17	6.0
	29	478.0	213.0	13	52	0	13	6.0
	30	225.0	397.0	12	48	0	12	8.0
