  TYPE:	PPIRP (adapted from Adulyasak(2013) and Archetti et al. (2011) benchmark)
  COMMENT: NODE 1 REPRESENTS THE SUPPLIER
  COMMENT: THE QUANTITY CONSUMED BY RETAILER AND THE
           QUANTITY MADE AVAILABLE AT THE SUPPLIER
           ARE CONSTANT OVER TIME
  TRANSPORTATION-COST-TYPE: EUC_2(T(i, j)=
  T(J, I)=INT((SQRT((X(I)-X(J))**2+(Y(I)-Y(J))**2))+.5)
  PRODUCED BY:	 yossiri
  DIMENSION:	26
  HORIZON:	3
  NUMBER OF VEHICLES:	3
  VEHICLE CAPACITY:	189
  SUPPLIER	COORD_X	COORD_Y	START_LEVEL_INV	INV_COST	VAR_PROD_COST	SET-UP_PROD_COST	PROD_CAPACITY	INV_CAPACITY
	0	287.0	199.0	0	3.0	30.0	3000.0	700.0	350.0
  RETAILER	COORD_X	COORD_Y	START_LEVEL_INV	MAX_LEVEL_INV	MIN_LEVEL_INV	DEMAND	INV_COST
	1	178.0	319.0	16	64	0	16	7.0
	2	153.0	129.0	12	36	0	6	8.0
	3	71.0	126.0	10	30	0	5	9.0
	4	302.0	151.0	9	36	0	9	6.0
	5	33.0	121.0	52	147	0	21	7.0
	6	34.0	303.0	20	56	0	8	6.0
	7	498.0	247.0	50	140	0	20	7.0
	8	455.0	476.0	11	66	0	22	7.0
	9	248.0	389.0	35	98	0	14	9.0
	10	54.0	203.0	9	57	0	19	9.0
	11	390.0	28.0	6	39	0	13	6.0
	12	124.0	401.0	34	102	0	17	8.0
	13	342.0	426.0	32	91	0	13	6.0
	14	159.0	142.0	35	98	0	14	6.0
	15	212.0	447.0	10	30	0	5	6.0
	16	214.0	410.0	10	60	0	20	7.0
	17	130.0	131.0	12	35	0	5	6.0
	18	90.0	385.0	11	69	0	23	9.0
	19	274.0	92.0	3	21	0	7	6.0
	20	2.0	162.0	32	91	0	13	9.0
	21	414.0	71.0	48	144	0	24	7.0
	22	26.0	365.0	27	77	0	11	6.0
	23	209.0	253.0	6	36	0	12	9.0
	24	437.0	135.0	30	84	0	12	8.0
	25	239.0	283.0	52	147	0	21	6.0
